Platform,Tier,D+,D-
Aternos,Free,0.10287652670972275,0.07846950809611317
Minefort,Free,0.1029196634273446,0.07845063914527838
Server.pro,Free,0.10295545144395096,0.07844207352530673
FalixNodes,Free,0.10496745382987126,0.0784013409177551
ScalaCube,Free,0.10472397361673788,0.07840453121806068
Minefort,Paid,0.09505002705960128,0.07431309792791074
Server.pro,Premium+,0.09836255624955398,0.07306170579081214
Server.pro,Extreme,0.0903471307033824,0.06902645437912637
Shockbyte,Dirt,0.10421693539004562,0.07622992540571076
Shockbyte,Stone,0.10159174975483673,0.07387189527586505
Shockbyte,Iron,0.09431388438524371,0.06979487021222018
Shockbyte,Gold,0.0852443863421502,0.06315208686563079
Shockbyte,Titan,0.06900954905597285,0.06252477700469691
BisectHosting,Budget,0.09935521238746356,0.07606236145977241
BisectHosting,Premium4GB,0.09431275594077723,0.06981565996741092
BisectHosting,Premium8GB,0.08100060242637554,0.0661377362622456
BisectHosting,Premium16GB,0.06685477441762096,0.0650727280390663
PebbleHost,Basic,0.09935553629242905,0.07604749233328646
PebbleHost,Standard,0.09398729551582596,0.07365711050448347
PebbleHost,Pro,0.07970572959262315,0.07238507486218336
PebbleHost,Elite,0.06147011229604309,0.07338534788131293
ScalaCube,Entry,0.10370704685514992,0.07626051880273708
ScalaCube,Small,0.10058346061374293,0.07398767228660456
ScalaCube,Medium,0.08734703488398032,0.06255398119596482
ScalaCube,Large,0.07603586245141827,0.05825003302141092
ScalaCube,XL,0.08684920177198359,0.0883777892478673
Apex Hosting,Basic,0.09958294817648893,0.07168814452924491
Apex Hosting,Standard,0.09494674292251881,0.06500593894122646
Apex Hosting,Pro,0.08413494515129946,0.056579310861479125
Apex Hosting,Elite,0.0817465005075329,0.052524910254274915
MCProHosting,Dirt,0.09948536957432394,0.07314573096986544
MCProHosting,Stone,0.09453637986769259,0.06789021009709154
MCProHosting,Iron,0.08226509723100463,0.06174306802694777
MCProHosting,Gold,0.0737406854522287,0.05795106688377671
Sparked Host,Basic,0.10147810921548843,0.07778375313721717
Sparked Host,Standard,0.0939872592391866,0.07366242141121584
Sparked Host,Pro,0.0797056868159809,0.0723904790915059
Sparked Host,Elite,0.061470056829345934,0.07339067845411419
Hostinger,Panel1,0.09582378863332003,0.07255332474492217
Hostinger,Panel2,0.08245082176679054,0.07317145789614919
Hostinger,Panel4,0.056311326665250024,0.08217061238325853
Hostinger,Panel8,0.02743411166165736,0.11668535362169184
Nodecraft,Lite2GB,0.1016413824148155,0.07294642844273318
Nodecraft,Lite4GB,0.09679615437198999,0.06771150679186393
Nodecraft,Lite8GB,0.08618764215532991,0.05967667095677994
Nodecraft,Lite16GB,0.07354724562588517,0.058116075453208405
Nodecraft,Prem2GB,0.10194375602562464,0.06902834603707478
Nodecraft,Prem4GB,0.09582547531499641,0.06022046473210445
Nodecraft,Prem8GB,0.08803521860603811,0.04834647191497796
Nodecraft,Prem16GB,0.09680110383790767,0.048729837788403944
GGServers,Basic,0.1022527981814605,0.07580381998010602
GGServers,Standard,0.0955048408961847,0.07351621252780069
GGServers,Premium,0.082929327183798,0.07173897923279499
Akliz,Standard,0.10105966678014752,0.07440700157594358
Akliz,Advanced,0.0931434826775613,0.07142502335472671
Akliz,Premium,0.07829567771949048,0.06955460375448226
Godlike.host,Basic,0.0995092760101568,0.07275699158734691
Godlike.host,Standard,0.09463705141306843,0.06712059471352673
Godlike.host,Pro,0.08272698768024352,0.06035323661245711
Godlike.host,Elite,0.06438708251730219,0.1022353511340571
Host Havoc,Basic,0.1015490853973619,0.07485757773731846
Host Havoc,Standard,0.09413024882290634,0.07173335512388757
Host Havoc,Advanced,0.08037780718257999,0.06879842272731672
ServerMiner,Basic,0.10159164730476006,0.07388243725170245
ServerMiner,Standard,0.09431377402945187,0.06980602789547645
ServerMiner,Premium,0.08123379100069753,0.06524420290437773
G-Portal,Basic,0.1010752197728336,0.07406588095951654
G-Portal,Standard,0.09325604250533234,0.07027153690274074
G-Portal,Premium,0.07903062540912424,0.06656522152703061
exaroton,PayGo,0.09594185142386218,0.06967643052743429
Pine Hosting,Standard,0.10104727312235247,0.07469678018383463
CloudNord,Basic,0.10159164730476006,0.07388243725170245
