Rank,Platform,Tier,V
1,Hostinger,Panel8,0.8096432594464608
2,Godlike.host,Elite,0.6135749484248583
3,Hostinger,Panel4,0.5933669975149262
4,Sparked Host,Elite,0.544196042679556
5,PebbleHost,Elite,0.5441778018094319
6,ScalaCube,XL,0.5043617352183792
7,BisectHosting,Premium16GB,0.4932461149291458
8,Sparked Host,Pro,0.4759520311349448
9,PebbleHost,Pro,0.4759332763190981
10,Shockbyte,Titan,0.4753495066820625
11,Akliz,Premium,0.4704394409064856
12,Hostinger,Panel2,0.4701862615984695
13,GGServers,Premium,0.4638246897174191
14,Host Havoc,Advanced,0.4611889090431592
15,G-Portal,Premium,0.4571917601208783
16,BisectHosting,Premium8GB,0.449493564027581
17,ServerMiner,Premium,0.4454198283645192
18,Nodecraft,Lite16GB,0.4413991305771225
19,MCProHosting,Gold,0.4400508449148527
20,Sparked Host,Standard,0.4393830106054484
21,PebbleHost,Standard,0.439365155408527
22,Minefort,Paid,0.4387796808389679
23,GGServers,Standard,0.4349529898111978
24,Akliz,Advanced,0.4340139257308033
25,Sparked Host,Basic,0.4339113301421257
26,ScalaCube,Large,0.4337762563693593
27,BisectHosting,Budget,0.4336074190948054
28,PebbleHost,Basic,0.4335586045983317
29,Server.pro,Extreme,0.4331110098539282
30,Aternos,Free,0.4327059490444834
31,Minefort,Free,0.4325440164817815
32,Host Havoc,Standard,0.4324840014141881
33,Server.pro,Free,0.4324318842751614
34,Hostinger,Panel1,0.4308977823009616
35,G-Portal,Standard,0.429722846489291
36,MCProHosting,Iron,0.4287469944245969
37,ScalaCube,Free,0.4281394165741151
38,FalixNodes,Free,0.4275609763681996
39,Server.pro,Premium+,0.4262039977375428
40,GGServers,Basic,0.4257287415810767
41,Shockbyte,Gold,0.4255632596955777
42,BisectHosting,Premium4GB,0.4253721671600433
43,ServerMiner,Standard,0.4253358039476986
44,Shockbyte,Iron,0.4252964467582324
45,Pine Hosting,Standard,0.4250316228549449
46,Host Havoc,Basic,0.4243466567936114
47,Akliz,Standard,0.4240520565703247
48,ScalaCube,Small,0.4238253544979845
49,ScalaCube,Entry,0.4237459040130932
50,MCProHosting,Dirt,0.4237112011641373
51,G-Portal,Basic,0.4228926314258106
52,Shockbyte,Dirt,0.422450826074462
53,Godlike.host,Basic,0.422351935768075
54,Godlike.host,Pro,0.4218139642344417
55,ServerMiner,Basic,0.4210447225779896
56,CloudNord,Basic,0.4210447225779896
57,Shockbyte,Stone,0.4210096927083629
58,exaroton,PayGo,0.4207049469811798
59,Apex Hosting,Basic,0.4185653480497992
60,MCProHosting,Stone,0.41797473007228
61,Nodecraft,Lite2GB,0.4178208552156728
62,ScalaCube,Medium,0.4173019158362712
63,Godlike.host,Standard,0.414945421875122
64,Nodecraft,Lite4GB,0.411600932824773
65,Nodecraft,Lite8GB,0.4091245465291639
66,Apex Hosting,Standard,0.4064073086101885
67,Nodecraft,Prem2GB,0.403740406793153
68,Apex Hosting,Pro,0.4020865579983668
69,Apex Hosting,Elite,0.3911846159675198
70,Nodecraft,Prem4GB,0.385914972949168
71,Nodecraft,Prem8GB,0.3544938600649466
72,Nodecraft,Prem16GB,0.3348417679693877
